[01 Oct 21:47:34] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 21:50:05] Disconnected, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 21:51:34] Disconnected abnormally, sybar 127.0.0.1
[01 Oct 21:52:48] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 21:58:47] Disconnected, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 21:59:44] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 22:00:22] Disconnected, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 22:01:11] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[01 Oct 22:02:36] Disconnected, Konstruktor(268481351) sybar 127.0.0.1
[02 Oct 21:12:41] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[02 Oct 22:24:21] Disconnected, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 14:37:54] Created new character, BadaBumBum(268481732), sybar 127.0.0.1
[27 Oct 14:37:57] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 14:59:27] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:00:30] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:00:34] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 15:02:24] Logged out, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 15:02:28] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:02:37] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:02:40] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:02:53] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 15:05:40] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 15:10:28] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 15:10:47] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:16:11] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:18:45] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:18:49] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:21:41] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:25:24] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:27:23] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:32:00] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:36:51] Logged in, Konstruktor(268481351) sybar 127.0.0.1
